# s/c    M_iso
-0.06972608 0.08793267
-0.07110722 0.08855750
-0.07248984 0.08912178
-0.07387393 0.08973845
-0.07525951 0.09035097
-0.07664641 0.09095943
-0.07803480 0.09156390
-0.07942466 0.09216447
-0.08081600 0.09270712
-0.08220867 0.09330044
-0.08360282 0.09389007
-0.08499845 0.09442295
-0.08639541 0.09500572
-0.08779384 0.09558500
-0.08919376 0.09610864
-0.09059500 0.09668142
-0.09199772 0.09719925
-0.09340178 0.09776574
-0.09480731 0.09827795
-0.09621417 0.09878755
-0.09762236 0.09934515
-0.09903203 0.09984940
-0.10044304 0.10035116
-0.10185551 0.10085047
-0.10326932 0.10134737
-0.10468446 0.10184188
-0.10610108 0.10233405
-0.10751888 0.10287277
-0.10893816 0.10336012
-0.11035892 0.10384523
-0.11178086 0.10437630
-0.11320413 0.10485680
-0.11462888 0.10533515
-0.11605496 0.10581138
-0.11748222 0.10628552
-0.11891096 0.10675760
-0.12034104 0.10722764
-0.12177229 0.10769567
-0.12320502 0.10816172
-0.12463893 0.10857949
-0.12607433 0.10904184
-0.12751090 0.10945632
-0.12894881 0.10991506
-0.13038804 0.11032633
-0.13182846 0.11073610
-0.13327021 0.11118968
-0.13471344 0.11159636
-0.13615770 0.11200159
-0.13760344 0.11240539
-0.13905022 0.11280778
-0.14049847 0.11320878
-0.14194791 0.11360839
-0.14339867 0.11405080
-0.14485062 0.11444753
-0.14630375 0.11484294
-0.14775822 0.11519329
-0.14921430 0.11558620
-0.15067039 0.11597781
-0.15212944 0.11636813
-0.15358848 0.11675719
-0.15504900 0.11714498
-0.15651101 0.11753152
-0.15797449 0.11791682
-0.15943796 0.11830091
-0.16090440 0.11868378
-0.16237084 0.11906545
-0.16383875 0.11944593
-0.16530667 0.11982524
-0.16677754 0.12016142
-0.16824841 0.12053853
-0.16972223 0.12091449
-0.17119606 0.12128933
-0.17266989 0.12170449
-0.17414667 0.12207696
-0.17562346 0.12244832
-0.17710172 0.12281860
-0.17858146 0.12318779
-0.18006268 0.12355590
-0.18154390 0.12392296
-0.18302659 0.12432956
-0.18451077 0.12469440
-0.18599642 0.12505820
-0.18748355 0.12546123
-0.18897069 0.12582288
-0.19045930 0.12622353
-0.19194791 0.12662295
-0.19343947 0.12698139
-0.19493104 0.12737850
-0.19642408 0.12773488
-0.19791861 0.12809029
-0.19941313 0.12844475
-0.20090913 0.12879826
-0.20240661 0.12915083
-0.20390557 0.12950248
-0.20540453 0.12985319
-0.20690496 0.13020300
